iter	Logloss
0	0.6874585421
1	0.6817920891
2	0.6768097775
3	0.6720448267
4	0.6669186782
5	0.6622295209
6	0.6573379806
7	0.6524357385
8	0.646892592
9	0.6418076773
10	0.6366277046
11	0.6317214472
12	0.6279206692
13	0.6242445731
14	0.6198698484
15	0.6161807158
16	0.6115136648
17	0.6074705741
18	0.6037415932
19	0.601386141
20	0.5987134419
21	0.5953617157
22	0.5911785629
23	0.5876784555
24	0.5840328372
25	0.5804309953
26	0.5782101065
27	0.5749950869
28	0.5715549095
29	0.5682030128
30	0.5649344951
31	0.5620581391
32	0.5586278548
33	0.5557938136
34	0.5536748743
35	0.5511917275
36	0.547886171
37	0.5454429288
38	0.5422677402
39	0.5397967447
40	0.5372625522
41	0.5345027974
42	0.5317698925
43	0.5291020068
44	0.5265343709
45	0.5244904815
46	0.5226003206
47	0.5203942995
48	0.5180231255
49	0.5157299282
50	0.5135558145
51	0.5109923847
52	0.509166464
53	0.5073264174
54	0.5051247382
55	0.5030141899
56	0.5008521435
57	0.4992892882
58	0.4982967809
59	0.4959592571
60	0.4934296267
61	0.4912871372
62	0.4892490829
63	0.4875030042
64	0.4858501757
65	0.4850001884
66	0.4836584183
67	0.4816565808
68	0.4803930072
69	0.4791085252
70	0.47826024
71	0.476371331
72	0.4753047402
73	0.4737545995
74	0.4721291634
75	0.4705727279
76	0.4692875991
77	0.4681867101
78	0.4669939213
79	0.4654368757
80	0.4644346614
81	0.4627099475
82	0.4618525339
83	0.4602937631
84	0.4589644053
85	0.4580286776
86	0.4573396975
87	0.4561781936
88	0.4546872402
89	0.4539608807
90	0.4524964227
91	0.4509970402
92	0.4495966544
93	0.4491057585
94	0.4476760474
95	0.4468224165
96	0.4457742679
97	0.4446477593
98	0.4434017906
99	0.4423606522
100	0.4413796111
101	0.4405524427
102	0.4395721933
103	0.4387856019
104	0.4382268713
105	0.4373459906
106	0.4363716501
107	0.4352982804
108	0.4342235693
109	0.4330338059
110	0.4327076485
111	0.4316227914
112	0.4309752466
113	0.4305023192
114	0.429645172
115	0.4287463738
116	0.4279809387
117	0.4270658869
118	0.4262289755
119	0.4254788093
120	0.4246759861
121	0.424018563
122	0.4233134417
123	0.4224978749
124	0.4220069884
125	0.4211196847
126	0.4203496537
127	0.4201206302
128	0.4196459384
129	0.4188608748
130	0.418284834
131	0.4179055834
132	0.4170905923
133	0.4163436193
134	0.415703958
135	0.415326145
136	0.41507722
137	0.414832567
138	0.4146492906
139	0.4141162763
140	0.4139399578
141	0.4134078679
142	0.4128024849
143	0.412138943
144	0.4115055897
145	0.4107134907
146	0.4100568841
147	0.4095487207
148	0.4088816343
149	0.4085822755
150	0.4079264618
151	0.4074623067
152	0.4071810847
153	0.4065293692
154	0.4062283509
155	0.4054780166
156	0.4048127698
157	0.4042399511
158	0.4037217555
159	0.4035383534
160	0.4029634497
161	0.4025457601
162	0.4020614369
163	0.401637814
164	0.4012914661
165	0.4008204832
166	0.4005247489
167	0.4002692178
168	0.3999445171
169	0.3993752695
170	0.3989194556
171	0.3985312771
172	0.3981268526
173	0.3978638836
174	0.3973751874
175	0.396856515
176	0.3964987789
177	0.3963840413
178	0.3959340975
179	0.3954581967
180	0.3948880497
181	0.3945808185
182	0.3941874315
183	0.3938379837
184	0.3936374464
185	0.3931478618
186	0.3928004558
187	0.3925066013
188	0.392091887
189	0.3916954221
190	0.3914796412
191	0.3911032247
192	0.3906941505
193	0.3902469311
194	0.389874634
195	0.3894177748
196	0.3889898172
197	0.3885964046
198	0.3882224328
199	0.3878512793
200	0.3874992937
201	0.3874447421
202	0.3870912226
203	0.3866993669
204	0.3862415315
205	0.3858973531
206	0.3856540877
207	0.3856044669
208	0.3853270006
209	0.3849022491
210	0.3845264749
211	0.3841572472
212	0.3838030344
213	0.3833648325
214	0.3831301188
215	0.3828877363
216	0.3825338516
217	0.3823417757
218	0.3820418277
219	0.3815158329
220	0.3812076893
221	0.3809243234
222	0.3806911738
