iter	Passed	Remaining
0	151	151278
1	180	89906
2	184	61231
3	196	48960
4	199	39642
5	209	34758
6	213	30291
7	217	26955
8	221	24342
9	225	22310
10	228	20534
11	232	19121
12	239	18191
13	241	17000
14	246	16165
15	248	15257
16	252	14579
17	255	13943
18	258	13371
19	261	12797
20	269	12558
21	272	12091
22	285	12137
23	288	11718
24	290	11338
25	423	15866
26	551	19878
27	568	19727
28	570	19118
29	583	18877
30	592	18514
31	593	17968
32	596	17491
33	607	17259
34	610	16842
35	624	16712
36	645	16811
37	647	16385
38	650	16021
39	662	15892
40	674	15778
41	677	15446
42	679	15133
43	683	14846
44	686	14577
45	688	14289
46	690	14005
47	694	13770
48	696	13526
49	698	13279
50	703	13092
51	707	12906
52	710	12697
53	712	12486
54	715	12302
55	719	12120
56	722	11958
57	725	11780
58	728	11617
59	732	11471
60	740	11392
61	742	11239
62	745	11092
63	948	13877
64	996	14333
65	998	14123
66	1004	13986
67	1007	13806
68	1008	13611
69	1012	13453
70	1014	13269
71	1018	13126
72	1025	13027
73	1041	13037
74	1045	12900
75	1052	12791
76	1061	12723
77	1063	12574
78	1066	12433
79	1068	12288
80	1071	12151
81	1074	12033
82	1080	11942
83	1088	11868
84	1091	11748
85	1094	11631
86	1097	11514
87	1099	11398
88	1343	13748
89	1400	14165
90	1405	14036
91	1409	13909
92	1413	13781
93	1415	13646
94	1419	13527
95	1422	13392
96	1424	13263
97	1428	13151
98	1432	13034
99	1435	12919
100	1437	12794
101	1438	12665
102	1441	12551
103	1478	12736
104	1490	12703
105	1494	12604
106	1499	12515
107	1519	12550
108	1521	12433
109	1525	12339
110	1526	12225
111	1536	12181
112	1551	12179
113	1556	12097
114	1563	12028
115	1567	11945
116	1570	11855
117	1674	12519
118	1722	12752
119	1724	12649
120	1730	12573
121	1735	12488
122	1741	12414
123	1744	12325
124	1748	12239
125	1751	12150
126	1756	12070
127	1759	11984
128	1761	11896
129	1770	11850
130	1774	11772
131	1777	11689
132	1780	11605
133	1784	11531
134	1798	11520
135	1800	11438
136	1802	11355
137	1810	11310
138	1812	11225
139	1815	11150
140	1816	11067
141	1819	10995
142	1824	10934
143	2080	12365
144	2102	12395
145	2107	12328
146	2120	12306
147	2153	12399
148	2203	12584
149	2232	12649
150	2238	12585
151	2240	12498
152	2241	12410
153	2248	12350
154	2250	12268
155	2255	12204
156	2259	12132
157	2263	12063
158	2266	11986
159	2275	11946
160	2280	11882
161	2287	11832
162	2291	11768
163	2293	11693
164	2298	11631
165	2302	11565
166	2308	11512
167	2450	12136
168	2465	12124
169	2512	12266
170	2521	12222
171	2523	12148
172	2526	12075
173	2533	12026
174	2536	11960
175	2669	12499
176	2682	12471
177	2687	12410
178	2690	12341
179	2693	12272
180	2697	12205
181	2701	12140
182	2704	12073
183	2710	12021
184	2714	11957
185	2720	11905
186	2723	11838
187	2726	11777
188	2731	11722
189	2736	11667
190	2740	11607
191	2743	11547
192	2747	11487
193	2750	11428
194	2753	11367
195	2758	11313
196	2760	11252
197	2764	11197
198	2766	11136
199	2771	11084
200	3026	12029
201	3027	11961
202	3050	11978
203	3054	11916
204	3058	11862
205	3060	11797
206	3065	11742
207	3066	11676
